x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.98000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.96000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.94000E-06,-238.69337142E-03,-175.87935924E-03,-226.13069415E-03,-75.37700236E-03
-49.92000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.90000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.88000E-06,-37.68834472E-03,-376.88438594E-03,-226.13069415E-03,-75.37700236E-03
-49.86000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566746E-03,-75.37700236E-03
-49.84000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.82000E-06,-439.69839811E-03,-175.87935925E-03,-427.13572084E-03,-75.37700236E-03
-49.80000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566745E-03,-75.37700236E-03
-49.78000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+125.62802434E-03
-49.76000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.74000E-06,-238.69337142E-03,+25.12566745E-03,+175.87935924E-03,-75.37700236E-03
-49.72000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-276.38202905E-03
-49.70000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069416E-03,+125.62802434E-03
-49.68000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566745E-03,-75.37700236E-03
-49.66000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+125.62802433E-03
-49.64000E-06,-37.68834473E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.62000E-06,-238.69337142E-03,+25.12566745E-03,-226.13069415E-03,-75.37700236E-03
-49.60000E-06,-238.69337142E-03,+25.12566745E-03,-226.13069415E-03,+125.62802433E-03
-49.58000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.56000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566746E-03,-75.37700236E-03
-49.54000E-06,-439.69839811E-03,-175.87935924E-03,-427.13572084E-03,-75.37700237E-03
-49.52000E-06,-238.69337142E-03,-175.87935924E-03,-226.13069414E-03,-75.37700236E-03
-49.50000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.48000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-276.38202905E-03
-49.46000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.44000E-06,-439.69839810E-03,-175.87935925E-03,-25.12566746E-03,-75.37700236E-03
-49.42000E-06,-238.69337142E-03,+25.12566744E-03,-226.13069414E-03,-75.37700236E-03
-49.40000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.38000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566746E-03,+125.62802434E-03
-49.36000E-06,-439.69839810E-03,-376.88438594E-03,-25.12566745E-03,-75.37700236E-03
-49.34000E-06,-439.69839810E-03,-175.87935925E-03,-25.12566745E-03,-75.37700236E-03
-49.32000E-06,-238.69337143E-03,-376.88438593E-03,-226.13069416E-03,-276.38202905E-03
-49.30000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,-75.37700236E-03
-49.28000E-06,-238.69337143E-03,-175.87935925E-03,-25.12566744E-03,-75.37700236E-03
-49.26000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,-276.38202904E-03
-49.24000E-06,-439.69839810E-03,-175.87935926E-03,-25.12566746E-03,-75.37700237E-03
-49.22000E-06,-439.69839811E-03,-175.87935926E-03,-25.12566747E-03,-276.38202904E-03
-49.20000E-06,-439.69839810E-03,-175.87935923E-03,-226.13069414E-03,+125.62802433E-03
-49.18000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566747E-03,-276.38202904E-03
-49.16000E-06,-439.69839810E-03,-376.88438593E-03,-226.13069414E-03,-276.38202904E-03
