x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-50.00000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+4.74874363840E+00
-49.98000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.96000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+4.74874363840E+00
-49.94000E-06,-37.68834472E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.92000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.90000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.74874363840E+00
-49.88000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.86000E-06,-238.69337142E-03,+25.12566745E-03,-25.12566745E-03,+4.94974866509E+00
-49.84000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069415E-03,+5.15075369179E+00
-49.82000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,+4.74874363840E+00
-49.80000E-06,-439.69839811E-03,-376.88438594E-03,-226.13069415E-03,+4.94974866509E+00
-49.78000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866510E+00
-49.76000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.74000E-06,-238.69337142E-03,-376.88438594E-03,-226.13069415E-03,+4.94974866509E+00
-49.72000E-06,-439.69839811E-03,-175.87935925E-03,-25.12566746E-03,+4.94974866509E+00
-49.70000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.68000E-06,-439.69839811E-03,-376.88438594E-03,-226.13069415E-03,+4.94974866509E+00
-49.66000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.74874363840E+00
-49.64000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,+4.94974866509E+00
-49.62000E-06,-37.68834472E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.60000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566745E-03,+4.94974866509E+00
-49.58000E-06,-238.69337142E-03,-175.87935924E-03,-25.12566745E-03,+4.94974866509E+00
-49.56000E-06,-439.69839811E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.54000E-06,-238.69337142E-03,-175.87935924E-03,-226.13069415E-03,+4.94974866509E+00
-49.52000E-06,-238.69337142E-03,-376.88438594E-03,-25.12566746E-03,+4.94974866509E+00
-49.50000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069414E-03,+4.94974866509E+00
-49.48000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.46000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069414E-03,+4.94974866510E+00
-49.44000E-06,-238.69337142E-03,-175.87935925E-03,-226.13069415E-03,+4.94974866509E+00
-49.42000E-06,-238.69337142E-03,+25.12566744E-03,-25.12566745E-03,+4.74874363841E+00
-49.40000E-06,-238.69337141E-03,-175.87935925E-03,-25.12566745E-03,+4.74874363841E+00
-49.38000E-06,-238.69337142E-03,-175.87935925E-03,-25.12566746E-03,+5.15075369178E+00
-49.36000E-06,-238.69337143E-03,-376.88438592E-03,-25.12566746E-03,+5.15075369179E+00
